No,기관명,기관유형,주무부처,설립일,기관장,기관장 임기,소재지,주소,홈페이지,상위기관,x,y
116.0,재단법인 한국자활복지개발원,기타공공기관,보건복지부,20190716.0,정해식,20221121-20251120,서울특별시,서울특별시 서대문구 통일로135 충정빌딩 10층,http://www.kdissw.or.kr,-,126.965458383486,37.5664280652901
117.0,재단법인 한국장기조직기증원,기타공공기관,보건복지부,20170401.0,이삼열,20240507-20270506,서울특별시,서울특별시 서대문구 충정로36 국민연금공단 충정로사옥 5층,https://www.koda1458.kr,-,126.964488428517,37.5619610885508
118.0,재외동포협력센터,기타공공기관,재외동포청,20230605.0,김영근,20230609-20260608,서울특별시,서울특별시 서초구 남부순환로 2558 외교센터 4층,www.okocc.or.kr,-,127.029691745321,37.4835973628557
119.0,전남대학교병원,기타공공기관,교육부,19930327.0,정 신,20240129-20270128,광주광역시,광주광역시 동구 제봉로 42,http://www.cnuh.com,-,126.921984240113,35.1420141967739
120.0,전략물자관리원,기타공공기관,산업통상자원부,20070605.0,정인교,20230803-20260802,서울특별시,"서울특별시 강남구 영동대로 511, 16층",www.kosti.or.kr,-,127.061023782931,37.510356849269
121.0,전북대학교병원,기타공공기관,교육부,19940704.0,유희철,20210730-20240729,전라북도,전라북도 전주시 덕진구 건지로 20,https://www.jbuh.co.kr,-,127.141059767822,35.8479659003147
122.0,전쟁기념사업회,기타공공기관,국방부,19890131.0,백승주,20230418-20260417,서울특별시,서울특별시 용산구 이태원로 29,www.warmemo.or.kr,-,126.978466063237,37.5373140468913
123.0,정보통신산업진흥원,기타공공기관,과학기술정보통신부,20090824.0,허성욱,20220222-20250221,충청북도,충청북도 진천군 덕산읍 정통로 10,www.nipa.kr,-,127.544318777501,36.902709904251
124.0,정보통신정책연구원,기타공공기관,국무조정실,19850204.0,배경율,20230803-20260802,충청북도,충청북도 진천군 덕산읍 정통로 18,http://www.kisdi.re.kr,-,127.542741399345,36.9031605446777
125.0,정부법무공단,기타공공기관,법무부,20080215.0,조희진,20230626-20260625,서울특별시,"서울특별시 강남구 테헤란로108길 12, 하나빌딩",http://www.kgls.or.kr,-,127.065756496551,37.5086105953986
126.0,제주국제자유도시개발센터,공기업(준시장형),국토교통부,20020515.0,양영철,20220308-20250307,제주특별자치도,제주특별자치도 제주시 첨단로 213-4(영평동),https://www.jdcenter.com,-,126.572552077426,33.4529029642094
127.0,제주대학교병원,기타공공기관,교육부,20011101.0,최국명,20230510-20260509,제주특별자치도,제주특별자치도 제주시 아란13길 15(아라일동),www.jejunuh.co.kr,-,126.545201028535,33.4672085209581
128.0,주식회사 에스알,공기업(준시장형),국토교통부,20131227.0,이종국,20211227-20241226,서울특별시,서울특별시 강남구 광평로56길 12,www.srail.or.kr,-,127.103875622051,37.486930606987
