"행정구역(읍면)별","두류별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"줄포면","팥","면적[㏊]","㏊","2.6","1.6","1","1","1","1","1","1.6","1.6","-","-",".7",".7",
"줄포면","팥","생산량[M/T]","M/T","3.2","1.8","1.3","1.3","1.3","1.3","1.3","2.5","2.1","-","-",".7",".7",
"줄포면","팥","단위생산량[kg/10a]","kg/10a","123.5","112.5","130","130","130","130.3","130.3","156.3","131.3","-","-","100","100",
"줄포면","녹두","면적[㏊]","㏊","1.8","1.8","1.2","1.2","1.2","1.2","1.2",".3",".3",".3","-","-","-",
"줄포면","녹두","생산량[M/T]","M/T","1.4","1.8","1.2","1.2","1.2","1.2","1.2",".4",".6",".6","","-","-",
"줄포면","녹두","단위생산량[kg/10a]","kg/10a","75","100","100","100","100","99.6","99.6","133.3","200","200","","-","-",
"줄포면","기타","면적[㏊]","㏊","2.6","2.4","2","2","2","2","2","3.2","23.2",".7",".7",".7","-",
"줄포면","기타","생산량[M/T]","M/T","28.1","26.4","27.4","6","6","6","6.1","5.6","35.4","1.2",".9",".9","-",
"줄포면","기타","단위생산량[kg/10a]","kg/10a","1080.8","1100","1370","300","300","296.2","296.2","175","152.6","171.4","140","128.6","-",
"위도면","합계","면적[㏊]","㏊","5","5","5","6","6","6","6.1","1.2","1.2","1.2",".7","-","-",
"위도면","합계","생산량[M/T]","M/T","10.3","9","9.4","8","8","8","8.1","1.7","1.9","1.9",".8","-","-",
"위도면","콩","면적[㏊]","㏊","5","5","5","6","6","6","6.1","-","-","-","-","-","-",
"위도면","콩","생산량[M/T]","M/T","10.3","9","9.4","8","8","8","8.1","-","-","-","-","-","-",
"위도면","콩","단위생산량[kg/10a]","kg/10a","206","180","188","133.3","133.3","133.1","133.1","-","-","-","-","-","-",
"위도면","팥","면적[㏊]","㏊","","-","","-","-","-","-",".7",".7",".7",".7","-","-",
"위도면","팥","생산량[M/T]","M/T","","-","","-","-","-","-","1.1",".9",".9",".8","-","-",
"위도면","팥","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","117","-","-",
"위도면","녹두","면적[㏊]","㏊","","-","","-","-","-","-",".5",".5",".5","","-","-",
"위도면","녹두","생산량[M/T]","M/T","","-","","-","-","-","-",".6","1","1","","-","-",
"위도면","녹두","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"위도면","기타","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"위도면","기타","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"위도면","기타","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
