"두류별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"녹두","화산면","면적[ha]","ha","3.6",".9",".9",".9",".7","1.2","4","4.1","4.4","4.2",
"녹두","화산면","생산량[M/T]","M/T","4",".8",".8",".8",".4","1.4","2","5.5","6","5.8",
"녹두","현산면","면적[ha]","ha","18","3.5","1.1","2.8","2.2","2.7","6","6.1","6.5","6.3",
"녹두","현산면","생산량[M/T]","M/T","19.8","3.1","1","2.5","1.2","3.1","5","8.2","9","8.7",
"녹두","송지면","면적[ha]","ha","2.6","3","2.5",".3",".2","1.4","1","1","1.1","1",
"녹두","송지면","생산량[M/T]","M/T","2.9","2.7","2.3",".3",".1","1.6","3","1.4","1.5","1.4",
"녹두","북평면","면적[ha]","ha","5.6","7.6","5.6","2.1","3","","-","-","-","-",
"녹두","북평면","생산량[M/T]","M/T","6.2","6.8","5.1","1.9","1.7","-","-","-","-","-",
"녹두","북일면","면적[ha]","ha",".4","1.6",".8",".9",".8",".6","-","-","-","-",
"녹두","북일면","생산량[M/T]","M/T",".4","1.4",".7",".8",".5",".7","-","-","-","-",
"녹두","옥천면","면적[ha]","ha",".9","1.3","0",".2",".1","","1","1","1.1","1",
"녹두","옥천면","생산량[M/T]","M/T","1","1.2","0",".2",".1","-",".7","1.4","1.5","1.4",
"녹두","계곡면","면적[ha]","ha",".3","-",".3","-","","","-","-","-","-",
"녹두","계곡면","생산량[M/T]","M/T",".3","-",".3","-","","-","-","-","-","-",
"녹두","마산면","면적[ha]","ha","1.5","2.7","4.1","5.1","3.9","4","11","11.2","12","11.6",
"녹두","마산면","생산량[M/T]","M/T","1.7","2.4","3.8","4.5","2.2","4.6","5","15.1","16.5","16",
"녹두","황산면","면적[ha]","ha","1.5","2","1.3",".8","4.3",".3",".6",".6",".6",".6",
"녹두","황산면","생산량[M/T]","M/T","1.7","1.8","1.2",".7","2.4",".3",".5",".8",".9",".8",
"녹두","산이면","면적[ha]","ha","6.2","3.3","17","26.6","26.5","35","4","4.1","4.4","4.2",
"녹두","산이면","생산량[M/T]","M/T","6.8","2.9","15.5","23.7","14.5","39.9","3","5.5","6","5.8",
"녹두","문내면","면적[ha]","ha","1.7",".6",".7",".9","1.1",".8",".3",".3",".3",".3",
"녹두","문내면","생산량[M/T]","M/T","1.9",".5",".6",".8",".6",".9",".2",".4",".4",".4",
"녹두","화원면","면적[ha]","ha","4.6","1.8","5.1","1.7","-",".7","1","1","1.1","1",
"녹두","화원면","생산량[M/T]","M/T","5.1","1.6","4.6","1.5","-",".8","1","1.4","1.5","1.4",
"기타","합계","면적[ha]","ha","51.4","7.4","48","8.7","1","-","-","-","","-",
"기타","합계","생산량[M/T]","M/T","56.6","7.7","60.5","10.7",".9","-","-","-","","-",
"기타","해남읍","면적[ha]","ha","5.2","4.5",".2","-","","-","-","","","",
"기타","해남읍","생산량[M/T]","M/T","5.7","4.7",".3","-","","-","-","","","",
"기타","삼산면","면적[ha]","ha","4.5",".2","2.7",".2","","-","-","","","",
"기타","삼산면","생산량[M/T]","M/T","5",".2","3.4",".2","","-","-","","","",
"기타","화산면","면적[ha]","ha","-","-",".2","-","","-","-","","","",
"기타","화산면","생산량[M/T]","M/T","","-",".3","-","","-","-","","","",
"기타","현산면","면적[ha]","ha","14","1.5","9.2","-",".1","-","-","","","",
"기타","현산면","생산량[M/T]","M/T","15.4","1.6","11.5","-",".1","-","-","","","",
"기타","송지면","면적[ha]","ha","-","-","2","","","-","-","","","",
"기타","송지면","생산량[M/T]","M/T","","-","2.5","-","","-","-","","","",
"기타","북평면","면적[ha]","ha","18","-","18.3","1",".9","-","-","","","",
"기타","북평면","생산량[M/T]","M/T","19.8","-","23.1","1.2",".8","-","-","","","",
"기타","북일면","면적[ha]","ha","-",".1","4.6",".3","","-","-","","","",
"기타","북일면","생산량[M/T]","M/T","",".1","5.8",".4","","-","-","","","",
"기타","옥천면","면적[ha]","ha","4.5","1.1","1.7",".7","","-","-","","","",
"기타","옥천면","생산량[M/T]","M/T","5","1.1","2.1",".8","","-","-","","","",
"기타","계곡면","면적[ha]","ha","-","-","-",".5","","-","-","","","",
"기타","계곡면","생산량[M/T]","M/T","","-","-",".6","","-","-","","","",
"기타","마산면","면적[ha]","ha","-","0","1.2",".6","","-","-","","","",
"기타","마산면","생산량[M/T]","M/T","","0","1.5",".7","","-","-","","","",
"기타","황산면","면적[ha]","ha","-","-","7","-","","-","-","","","",
"기타","황산면","생산량[M/T]","M/T","","-","8.8","-","","-","-","","","",
"기타","산이면","면적[ha]","ha","-","-",".5","-","","-","-","","","",
"기타","산이면","생산량[M/T]","M/T","","-",".6","-","","-","-","","","",
"기타","문내면","면적[ha]","ha","-","-",".5","5.4","","-","-","","","",
"기타","문내면","생산량[M/T]","M/T","","-",".6","6.6","","-","-","","","",
"기타","화원면","면적[ha]","ha","5.2","-","-","-","-","-","-","","","",
"기타","화원면","생산량[M/T]","M/T","5.7","-","-","-","-","-","-","","","",
