"읍면동별","식량작물별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"황산면","미곡","면적[㏊]","㏊","728","728","705","705","708","708","708","708","615","615","697","717.1",
"황산면","미곡","생산량[M/T]","M/T","3785.6","3785.6","3579","3579","3894","3894","3894","3894","3356","3356","4280","4015.6",
"황산면","맥류","면적[㏊]","㏊","9.2","9.2","9.2","9.2","","","","","75","75","36","36.4",
"황산면","맥류","생산량[M/T]","M/T","36.8","36.8","36.8","36.8","","","","","","","120","121.5",
"황산면","잡곡","면적[㏊]","㏊","6","6","10","10","8","8","8","8","9","9","5","5.1",
"황산면","잡곡","생산량[M/T]","M/T","14.4","14.4","19.4","19.4","16","16","16","16","19","19","12","15.3",
"황산면","두류","면적[㏊]","㏊","12.5","12.5","31","31","31","31","31","33","85","85","145","94.8",
"황산면","두류","생산량[M/T]","M/T","22","22","45","45","46.5","46.5","46.5","49","207","207","411","308",
"황산면","서류","면적[㏊]","㏊","66","66","90","90","90","65","65","65","65","65","39","38.9",
"황산면","서류","생산량[M/T]","M/T","1201.7","1201.7","1601","1601","1550","1150","1150","1200","1187","1187","684","669.1",
"금산면","합계","면적[㏊]","㏊","880","342","875","898","644","644","644","685","720","720","690","756.7",
"금산면","합계","생산량[M/T]","M/T","4610.4","463","4601","4653","3382.1","3382.1","3382.1","3269.7","3354","3354","3621","4033.5",
"금산면","미곡","면적[㏊]","㏊","843","24","842","847","591","591","591","585","492","492","447","585",
"금산면","미곡","생산량[M/T]","M/T","4417.3","285","4405","4432","3162","3162","3162","2786.21","2248","2248","2745","3276",
"금산면","맥류","면적[㏊]","㏊","3","221","3","3","","","","51","126","126","17","16.7",
"금산면","맥류","생산량[M/T]","M/T","13.5","98","14","15","","","","249","710","710","56","56.4",
"금산면","잡곡","면적[㏊]","㏊","8","61","8","9","11","11","11","13","14","14","33","32.6",
"금산면","잡곡","생산량[M/T]","M/T","20","49","20","23","13","13","13","26","29","29","83","97.4",
"금산면","두류","면적[㏊]","㏊","19","33","20","30","32","32","32","26","78","78","177","106.2",
"금산면","두류","생산량[M/T]","M/T","31.7","27","33","51","50","50","49.6","51","209","209","513","344.8",
"금산면","서류","면적[㏊]","㏊","7","3","2","9","10","10","10","10","10","10","16","16.2",
"금산면","서류","생산량[M/T]","M/T","127.9","4","129","132","158","158","157.5","157.5","158","158","224","259",
"광활면","합계","면적[㏊]","㏊","2219","1965.1","2190.1","2253","1962","1962","1962","1206","1210","1210","2576","2553.2",
"광활면","합계","생산량[M/T]","M/T","16241.2","8969.7","9704.2","10431.8","16207.9","16207.9","16207.9","8826.4","8266","8266","21824","21172.7",
"광활면","미곡","면적[㏊]","㏊","1506","1201","1328","1347","1341","1341","1341","463","370","370","1369","1369",
"광활면","미곡","생산량[M/T]","M/T","8042","6413.3","6772.8","7130","7711","7711","7711","425","398","398","8406","7666.4",
"광활면","맥류","면적[㏊]","㏊","413","413","499","533.9","274","274","274","267","342","342","628","619.9",
"광활면","맥류","생산량[M/T]","M/T","1699.2","1699.2","2045.9","2390","1272.9","1272.9","1272.9","1240.4","1701","1701","2171","2112.1",
"광활면","잡곡","면적[㏊]","㏊","","3.1","3.7","4.3","","","","","0","0","3","3.1",
"광활면","잡곡","생산량[M/T]","M/T","","7.2","8.4","9.6","","","","","0","0","22","3.5",
"광활면","두류","면적[㏊]","㏊","","35","39.4","41.8","20","20","20","26","78","78","70","50.7",
"광활면","두류","생산량[M/T]","M/T","","68","76.1","81.2","30","30","30","78","236","236","209","164.7",
"광활면","서류","면적[㏊]","㏊","300","313","320","326","327","327","327","450","420","420","507","510.5",
"광활면","서류","생산량[M/T]","M/T","6500","782","801","821","7194","7194","7194","7083","5931","5931","11017","11226.1",
"요촌동","합계","면적[㏊]","㏊","275","275","286.6","286.6","226.8","223.8","270.03","256.1","290","290","265","364",
"요촌동","합계","생산량[M/T]","M/T","1415.7","1415.7","1319.5","1319.5","1254.1","1200.1","1256.3","1137.9","758","758","1444","2087.3",
