"행정구역(읍면)별","작물별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"진서면","서류","면적[㏊]","㏊","21.3","20.3","25.3","24.4","24.4","24","24","18.5","19","19.3","19.3","18.9","18.8",
"진서면","서류","생산량[M/T]","M/T","429.4","411.2","453.1","451","448","436","436","237.7","241.7","242.7","241.1","230.4","214.1",
"백산면","합계","면적[㏊]","㏊","3257.9","2645.1","2863.1","2767.9","2739.4","2613.1","2549.6","2901.5","2926.6","2433.6","2565.4","2634.6","2502.7",
"백산면","합계","생산량[M/T]","M/T","15812.9","12955.1","13598.9","13372.4","12804.4","13090.5","13263.5","14433.1","14316.7","11973.9","12766.6","12479.1","12014.4",
"백산면","미곡","면적[㏊]","㏊","2345","1915","2130","2123.6","2064.1","2043.5","1987.8","2043.4","1949.3","1825.6","1777.4","1837.4","1798.6",
"백산면","미곡","생산량[M/T]","M/T","11875","9575","10650","10618","11078.1","11089.2","11332","11577.5","10799.1","9986","9242.3","9207.6","9312.3",
"백산면","맥류","면적[㏊]","㏊","818","640.2","645.3","548.2","578.4","499","491","823.5","922","549","608","613","526.8",
"백산면","맥류","생산량[M/T]","M/T","3335.4","2784.6","2406.8","2220.2","1360.4","1670.8","1597.9","2705.4","3332","1794","2892.6","2623","2113",
"백산면","잡곡","면적[㏊]","㏊","6.9","6.9","6","6.6","6.8","6.5","6.7","1.4","1.4","1.5","1.5","1.5","1.5",
"백산면","잡곡","생산량[M/T]","M/T","13.9","12.3","11.6","10.6","12.4","11.4","14.5","2.2","2.9","2.8","2.6","2.9","2.9",
"백산면","두류","면적[㏊]","㏊","66","65","68","75.4","76","50.2","50.2","25.2","46.9","50.5","171.5","175.7","169",
"백산면","두류","생산량[M/T]","M/T","134.6","127.2","131.8","120.6","144.5","113.4","113.4","45.9","84.7","93.1","547","560.6","506.3",
"백산면","서류","면적[㏊]","㏊","22","18","13.8","14.1","14.1","14","14","8","7","7","7","7","6.8",
"백산면","서류","생산량[M/T]","M/T","454","456","398.7","403","209","205.6","205.6","102.1","98","98","82","85","80",
"상서면","합계","면적[㏊]","㏊","1079.2","1128.9","1090.2","1108.6","1102.6","1032.3","1035.2","1057.7","951.2","1081.8","1085.6","1124.5","978.7",
