"읍면동별","맥류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"백구면","맥주보리","생산량[M/T]","M/T","","","","","","","18.8","18.8","18.8","18","16.8","18.6",
"백구면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","570","570","1253","620.7","541.9","600",
"부량면","합계","면적[㏊]","㏊","368","190","177","177","150","150","150","120","195","285.3","282.9","284.5",
"부량면","합계","생산량[M/T]","M/T","1607.6","1050","1043","1043","691.5","691.5","692","553.6","1014.6","938.4","930.9","942.4",
"부량면","겉보리","면적[㏊]","㏊","240","","8","8","120","120","110","90","126.2","160","158","158",
"부량면","겉보리","생산량[M/T]","M/T","1080","","25","25","552","552","506","415.2","645.7","513.6","507.2","521.4",
"부량면","겉보리","단위생산량[㎏/10a]","㎏/10a","450","-","313","312.5","460","460","460","460","511.6","321","321","330",
"부량면","쌀보리","면적[㏊]","㏊","103","185","165","165","30","30","40","30","68.8","122.2","121.5","121.5",
"부량면","쌀보리","생산량[M/T]","M/T","432.6","1031","1001","1001","139.5","139.5","186","138.4","368.9","411.8","409.5","401",
"부량면","쌀보리","단위생산량[㎏/10a]","㎏/10a","420","557","607","606.7","465","465","465","461","536.2","337","337","330",
"부량면","밀","면적[㏊]","㏊","25","5","4","4","","","-","","","3.1","3.4","5",
"부량면","밀","생산량[M/T]","M/T","95","19","17","17","","","-","","","13","14.3","20",
"부량면","밀","단위생산량[㎏/10a]","㎏/10a","380","380","425","425","","","-","","","419.4","419.4","400",
"부량면","호밀","면적[㏊]","㏊","","","","","","","-","","","","","",
"부량면","호밀","생산량[M/T]","M/T","","","","","","","-","","","","","",
"부량면","호밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","","",
"부량면","맥주보리","면적[㏊]","㏊","","","","","","","-","","","","-","0",
"부량면","맥주보리","생산량[M/T]","M/T","","","","","","","-","","","","-","0",
"부량면","맥주보리","단위생산량[㎏/10a]","㎏/10a","","","","","","","-","","","","-","0",
"공덕면","합계","면적[㏊]","㏊","169.7","169.7","169","169","171","171","204","204","279","151.4","151.1","151.1",
"공덕면","합계","생산량[M/T]","M/T","737.1","737.1","733.4","733.4","745.6","745.6","895","895","1356","504.6","503.5","500.2",
"공덕면","겉보리","면적[㏊]","㏊","15","15","17","17","20","20","20","20","34","45.1","47.5","47.5",
