"잡곡별","행정구역별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"메밀","합계","생산량[M/T]","M/T","24.5","21.8","25.5","47.6","36.6","25.3","19.1","19","30.9","29.2",
"메밀","해남읍","면적[ha]","ha","","-","-","28.7","23","20.1","1.7","1.7","2.4","2.2",
"메밀","해남읍","생산량[M/T]","M/T","","-","-","28.1","9.2","16.9","11.9","3.1","5","4.7",
"메밀","삼산면","면적[ha]","ha",".2","-","-","-","","-","-","-","-","-",
"메밀","삼산면","생산량[M/T]","M/T",".4","-","-","-","","-","-","-","-","-",
"메밀","화산면","면적[ha]","ha","","-",".3","-","","-","-","-","-","-",
"메밀","화산면","생산량[M/T]","M/T","","-",".3","-","","-","-","-","-","-",
"메밀","현산면","면적[ha]","ha","1.3","-","-","-","","-","-","-","-","-",
"메밀","현산면","생산량[M/T]","M/T","2.3","-","-","-","","-","-","-","-","-",
"메밀","송지면","면적[ha]","ha","","-","-","-","","-","-","-","-","-",
"메밀","송지면","생산량[M/T]","M/T","","-","-","-","","-","-","-","-","-",
"메밀","북평면","면적[ha]","ha","",".8",".8",".8","","-","-","-","-","-",
"메밀","북평면","생산량[M/T]","M/T","",".7",".8",".8","","-","-","-","-","-",
"메밀","북일면","면적[ha]","ha","","-","-","-","","-","-","-","-","-",
"메밀","북일면","생산량[M/T]","M/T","","-","-","-","","-","-","-","-","-",
"메밀","옥천면","면적[ha]","ha","10.2","-","9.8","9.8","1",".4",".9",".9","1.3","1.2",
"메밀","옥천면","생산량[M/T]","M/T","18.4","-","9.8","9.6",".4",".3",".6","1.7","2.8","2.6",
"메밀","계곡면","면적[ha]","ha","1.2","4","-","-","","-","-","-","-","-",
"메밀","계곡면","생산량[M/T]","M/T","2.2","3.4","-","-","","-","-","-","-","-",
"메밀","마산면","면적[ha]","ha",".3","2","12.4","2.6","3","2.7","-","-","-","-",
"메밀","마산면","생산량[M/T]","M/T",".5","1.7","12.4","2.5","1.2","2.3","-","-","-","-",
"메밀","황산면","면적[ha]","ha","","12.1","-","-","8.5","1","1.9","1.9","2.7","2.5",
"메밀","황산면","생산량[M/T]","M/T","","10.4","-","-","3.4",".8","1.2","3.5","5.7","5.4",
"메밀","산이면","면적[ha]","ha",".4","6.4","1.3","3.3","50","-","-","-","-","-",
"메밀","산이면","생산량[M/T]","M/T",".7","5.5","1.3","3.2","20","-","-","-","-","-",
"메밀","문내면","면적[ha]","ha","","-","-","-","","-","-","-","-","-",
"메밀","문내면","생산량[M/T]","M/T","","-","-","-","","-","-","-","-","-",
"메밀","화원면","면적[ha]","ha","","-",".9","3.4","5.9","5.9","5.9","5.8","8.2","7.7",
"메밀","화원면","생산량[M/T]","M/T","","-",".9","3.3","2.4","5","5.4","10.7","17.4","16.5",
"기타","합계","면적[ha]","ha","20.5","200.9","21.8","35.7","20.3","37.8","192.1","189.5","266.4","253.5",
"기타","합계","생산량[M/T]","M/T","26.7","259.2","31.2","48.2","14.3","54.8","80.1","79","128.4","122.1",
"기타","해남읍","면적[ha]","ha","3.3","5","1.1","","","-","-","-","-","-",
"기타","해남읍","생산량[M/T]","M/T","4.3","6.5","1.6","-","","-","","-","-","-",
"기타","삼산면","면적[ha]","ha",".6","4.7","-","-","","-","-","-","-","-",
"기타","삼산면","생산량[M/T]","M/T",".8","6.1","-","-","","-","","-","-","-",
"기타","화산면","면적[ha]","ha","","5.3","3.9","-","","-","-","-","-","-",
"기타","화산면","생산량[M/T]","M/T","","6.8","5.6","-","","-","","-","-","-",
"기타","현산면","면적[ha]","ha","7.1","12","-",".7","1",".8","-","-","-","-",
"기타","현산면","생산량[M/T]","M/T","9.2","15.5","-","1",".7","1.2","","-","-","-",
"기타","송지면","면적[ha]","ha","","-","-","","","-","-","-","-","-",
"기타","송지면","생산량[M/T]","M/T","","-","-","-","","-","","-","-","-",
"기타","북평면","면적[ha]","ha","1.2","1.5","1.5","10","","","-","-","-","-",
"기타","북평면","생산량[M/T]","M/T","1.6","1.9","2.1","13.5","","-","","-","-","-",
"기타","북일면","면적[ha]","ha","","-","-","-","","","-","-","-","-",
"기타","북일면","생산량[M/T]","M/T","","-","-","-","","-","","-","-","-",
"기타","옥천면","면적[ha]","ha","2.5","60","11.6","","",".1","-","-","-","-",
"기타","옥천면","생산량[M/T]","M/T","3.3","77.4","16.6","-","",".1","","-","-","-",
"기타","계곡면","면적[ha]","ha",".5","-","-","-","",".6","90","88.6","124.6","118.5",
"기타","계곡면","생산량[M/T]","M/T",".7","-","-","-","",".9","36","36.9","60","57",
"기타","마산면","면적[ha]","ha","","42.9","-","-","","1.1","-","-","-","-",
"기타","마산면","생산량[M/T]","M/T","","55.3","-","-","","1.6","","-","-","-",
"기타","황산면","면적[ha]","ha","1.3","1.2","-","-",".5","","-","-","-","-",
"기타","황산면","생산량[M/T]","M/T","1.7","1.5","-","-",".4","-","","-","-","-",
"기타","산이면","면적[ha]","ha","","54.9","-","10","2","28","99","97.8","137.5","130.9",
"기타","산이면","생산량[M/T]","M/T","","70.8","-","13.5","1.4","40.6","39.6","40.8","66.3","63.1",
"기타","문내면","면적[ha]","ha",".7","2.4","1.3","14","","2.7","-","-","-","-",
"기타","문내면","생산량[M/T]","M/T",".9","3.1","1.9","18.9","","3.9","","-","-","-",
"기타","화원면","면적[ha]","ha","3.3","11","2.4","1","16.8","4.5","3.1","3.1","4.4","4.1",
"기타","화원면","생산량[M/T]","M/T","4.3","14.2","3.4","1.4","11.8","6.5","4.5","1.3","2.1","2",
