"행정구역(읍면)별","잡곡별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"하서면","합계","면적[㏊]","㏊","41.6","39.9","28.5","31","44.3","44.1","45.1","44","43.5","43.6","43.1","41.1","41.1",
"하서면","합계","생산량[M/T]","M/T","70.4","62.3","34.6","42.8","82.3","81.6","68.9","50.3","61.4","60.5","55.8","51.6","51.6",
"하서면","조","면적[㏊]","㏊","1","1","1","2","2","","","","","","","","",
"하서면","조","생산량[M/T]","M/T","1.4","1.4","1.4","3.5","3.5","","","","","","","","",
"하서면","조","단위생산량[kg/10a]","kg/10a","140","140","140","175","175","","","","","","","","",
"하서면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"하서면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"하서면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"하서면","옥수수","면적[㏊]","㏊","3","1.5","1.5","2","3","2.7","2.9","2.5","2.5","2.5","2","1","1",
"하서면","옥수수","생산량[M/T]","M/T","11.9","4","4","6","9","8.1","9.2","6.9","8","7.1","6.2","3.1","3.1",
"하서면","옥수수","단위생산량[kg/10a]","kg/10a","396.7","266.7","266.7","300","300","300.3","317","276","320","284","312","310","310",
"하서면","메밀","면적[㏊]","㏊","1.2","1","1","1","1","1","1","1","1","1","1","-","-",
"하서면","메밀","생산량[M/T]","M/T","1.4","1.2","1.2","1.3","1.3","1.3","1.3",".9","1.4","1.4","1.1","-","-",
"하서면","메밀","단위생산량[kg/10a]","kg/10a","118.3","120","120","130","130","130.1","130.1","90","140","140","107","-","-",
"하서면","기타","면적[㏊]","㏊","36.4","36.4","25","26","38.3","40.4","41.2","40.5","40","40.1","40.1","40.1","40.1",
"하서면","기타","생산량[M/T]","M/T","55.7","55.7","28","32","68.5","72.1","58.4","42.5","52","52","48.5","48.5","48.5",
"하서면","기타","단위생산량[kg/10a]","kg/10a","153","153","112","123","179","178.7","141.6","104.9","130","129.7","121","121","121",
"줄포면","합계","면적[㏊]","㏊","37.5","34.3","23.3","25","38.3","38.2","39.1","4.8","5.1","4.9","4.6","2.6","2.1",
"줄포면","합계","생산량[M/T]","M/T","64.7","54.8","35.8","41","70","69.2","57.6","5","7.7","7.6","6.5","4.2","2.6",
"줄포면","조","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"줄포면","조","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"줄포면","조","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"줄포면","수수","면적[㏊]","㏊","1","-","","-","-","","","","","","","","",
"줄포면","수수","생산량[M/T]","M/T","1.4","-","","-","-","","","","","","","","",
"줄포면","수수","단위생산량[kg/10a]","kg/10a","138","-","","","-","","","","","","","","",
"줄포면","옥수수","면적[㏊]","㏊","3","1.5","1.5","2","2","1.8","1.9",".2",".5",".5",".5",".5","-",
"줄포면","옥수수","생산량[M/T]","M/T","11.7","4","4","7","9","8.1","6.1",".6","1.6","1.5","1.6","1.6","-",
"줄포면","옥수수","단위생산량[kg/10a]","kg/10a","390","266.7","266.7","350","450","450.5","316","300","320","300","324","324","-",
"줄포면","메밀","면적[㏊]","㏊",".7","-","","-","-","-","-","2.3","2.3","2.3","2","-","-",
"줄포면","메밀","생산량[M/T]","M/T",".8","-","","-","-","-","-","2","3.3","3.3","2.3","-","-",
"줄포면","메밀","단위생산량[kg/10a]","kg/10a","117.1","-","","","-","-","-","-","143.5","143.5","115","-","-",
"줄포면","기타","면적[㏊]","㏊","32.8","32.8","21.8","23","36.3","36.4","37.1","2.3","2.3","2.1","2.1","2.1","2.1",
"줄포면","기타","생산량[M/T]","M/T","50.8","50.8","31.8","34","61","61.1","51.5","2.4","2.8","2.8","2.6","2.6","2.6",
"줄포면","기타","단위생산량[kg/10a]","kg/10a","155","155","146","148","168","168","138.8","104.3","121.7","133.3","123","123","123",
"위도면","합계","면적[㏊]","㏊","4","4","4","5","4.5","4.5","4.6",".4",".5",".4",".4",".4",".4",
"위도면","합계","생산량[M/T]","M/T","6.2","6.2","6.2","8","9","9","6.2","1.1",".6",".6",".4",".4",".4",
"위도면","조","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"위도면","조","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"위도면","조","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"위도면","수수","면적[㏊]","㏊","","-","","-","-","","","","","","","","",
"위도면","수수","생산량[M/T]","M/T","","-","","-","-","","","","","","","","",
"위도면","수수","단위생산량[kg/10a]","kg/10a","","-","","","-","","","","","","","","",
"위도면","옥수수","면적[㏊]","㏊","","-","","-","-","-","-",".4","-","-","-","-","-",
"위도면","옥수수","생산량[M/T]","M/T","","-","","-","-","-","-","1.1","-","-","-","-","-",
"위도면","옥수수","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"위도면","메밀","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"위도면","메밀","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"위도면","메밀","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"위도면","기타","면적[㏊]","㏊","4","4","4","5","4.5","4.5","4.6","-",".5",".4",".4",".4",".4",
"위도면","기타","생산량[M/T]","M/T","6.2","6.2","6.2","8","9","9","6.2","-",".6",".6",".4",".4",".4",
"위도면","기타","단위생산량[kg/10a]","kg/10a","155","155","155","160","200","200","134.8","-","120","150","109","109","109",
