"읍면동별","잡곡별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"교월동","합계","면적[㏊]","㏊","","",".5","1","","","","","","4.1","4.2","4.2",
"교월동","합계","생산량[M/T]","M/T","","","1.2","","","","","","","10.4","9","12.48",
"교월동","옥수수","면적[㏊]","㏊","","",".5",".5","","","","","","3.7","3.8","3.8",
"교월동","옥수수","생산량[M/T]","M/T","","","1.2","1.2","","","","","","9.4","8.1","11.4",
"교월동","옥수수","단위생산량[㎏/10a]","㎏/10a","","","235","235","","","","","","254.1","213.2","300",
"교월동","메밀","면적[㏊]","㏊","","","","","","","","","",".4",".4",".4",
"교월동","메밀","생산량[M/T]","M/T","","","","","","","","","","1",".9","1.08",
"교월동","메밀","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","225","270",
"교월동","기타","면적[㏊]","㏊","","","","","","","","","","0","0","-",
"교월동","기타","생산량[M/T]","M/T","","","","","","","","","","0","0","-",
"교월동","기타","단위생산량[㎏/10a]","㎏/10a","","","","","","","","","","0","0","",
