"읍면동별","두류별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2020 년","2021 년",
"공덕면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"공덕면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"공덕면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"공덕면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"공덕면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"청하면","합계","면적[㏊]","㏊","65","280","60","65","25","13","26","26","78","156.5","93.2",
"청하면","합계","생산량[M/T]","M/T","123.5","550","114","117","45","34.5","46.8","46.8","205","447.7","302.8",
"청하면","콩","면적[㏊]","㏊","65","280","60","65","25","13","26","26","78","156.4","93.1",
"청하면","콩","생산량[M/T]","M/T","123.5","550","114","117","45","34.5","46.8","46.8","205","447.5","302.6",
"청하면","콩","단위생산량[㎏/10a]","㎏/10a","190","196","190","180","180","180","180","180","262.8","286.1","325",
"청하면","팥","면적[㏊]","㏊","","","","-","","","","","",".1",".1",
"청하면","팥","생산량[M/T]","M/T","","","","-","","","","","",".2",".2",
"청하면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","183.3","200",
"청하면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"청하면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"청하면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"청하면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"청하면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"청하면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"성덕면","합계","면적[㏊]","㏊","31","31","31","31","31","14","33.8","110","162","316.6","130",
"성덕면","합계","생산량[M/T]","M/T","54.3","54","54","54","54.3","35.5","60.8","138","296","940.5","422.4",
"성덕면","콩","면적[㏊]","㏊","31","31","31","31","31","14","33.8","110","162","316.5","129.9",
"성덕면","콩","생산량[M/T]","M/T","54.3","54","54","54","54.3","35.5","60.8","138","296","940.3","422.2",
"성덕면","콩","단위생산량[㎏/10a]","㎏/10a","175","175","175","175","175","175","180","125.5","182.7","297.1","325",
"성덕면","팥","면적[㏊]","㏊","","","","-","","","","","",".1",".1",
"성덕면","팥","생산량[M/T]","M/T","","","","-","","","","","",".2",".2",
"성덕면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","200","200",
"성덕면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"성덕면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"성덕면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"성덕면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"성덕면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"성덕면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"진봉면","합계","면적[㏊]","㏊","8.9","12","11","15.8","25.6","12","25.3","169","221","214.4","157.3",
"진봉면","합계","생산량[M/T]","M/T","10.9","22.5","16.1","23.5","38.2","28.5","57.3","381","539","629.3","508.7",
"진봉면","콩","면적[㏊]","㏊","4.5","12","11","15.2","25","12","25.3","169","221","212.4","155.3",
"진봉면","콩","생산량[M/T]","M/T","6.5","22.5","16.1","22.8","37.5","28.5","57.3","381","539","625.3","504.7",
"진봉면","콩","단위생산량[㎏/10a]","㎏/10a","145","188","146","150","150","150","150","225","243.9","294.4","325",
"진봉면","팥","면적[㏊]","㏊",".4","","",".6",".6","","","","","2","2",
"진봉면","팥","생산량[M/T]","M/T",".4","","",".7",".7","","","","","4","4",
"진봉면","팥","단위생산량[㎏/10a]","㎏/10a","100","","","110","110","","","","","200","200",
"진봉면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"진봉면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"진봉면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"진봉면","기타","면적[㏊]","㏊","4","","","-","","","","","","","-",
"진봉면","기타","생산량[M/T]","M/T","4","","","-","","","","","","","-",
"진봉면","기타","단위생산량[㎏/10a]","㎏/10a","100","","","-","","","","","","","-",
"금구면","합계","면적[㏊]","㏊","14","12","13.9","14.9","14.9","7","15.6","15.6","68","145.6","97",
"금구면","합계","생산량[M/T]","M/T","26.6","22.9","24.9","26.5","29.5","17","30.2","30.2","188","410","315.1",
"금구면","콩","면적[㏊]","㏊","13","11","13","14","14","7","15.6","15.6","68","145.5","96.9",
"금구면","콩","생산량[M/T]","M/T","23.9","20.2","22.4","24","27","17","30.2","30.2","188","409.9","314.9",
"금구면","콩","단위생산량[㎏/10a]","㎏/10a","184","184","193","193","193","193","195","195","276.5","281.7","325",
"금구면","팥","면적[㏊]","㏊","1","1",".9",".9",".9","","","","",".1",".1",
"금구면","팥","생산량[M/T]","M/T","2.7","2.7","2.5","2.5","2.5","","","","",".2",".2",
"금구면","팥","단위생산량[㎏/10a]","㎏/10a","270","270","240","240","240","","","","","150","200",
"금구면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"금구면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"금구면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"금구면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"금구면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"금구면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"봉남면","합계","면적[㏊]","㏊","11","11","11","11","13","9","18","18","70","146","91.6",
"봉남면","합계","생산량[M/T]","M/T","19.9","20","8.3","8.3","22.4","18.1","55","55","213","396.8","297.5",
"봉남면","콩","면적[㏊]","㏊","11","11","11","11","11","9","18","18","70","145.8","91.4",
"봉남면","콩","생산량[M/T]","M/T","19.9","20","8.3","8.3","19.9","18.1","55","55","213","396.4","297.1",
"봉남면","콩","단위생산량[㎏/10a]","㎏/10a","181","181","181","181","181","181","173","305.6","304.3","271.9","325",
"봉남면","팥","면적[㏊]","㏊","","","","-","2","","","","",".2",".2",
"봉남면","팥","생산량[M/T]","M/T","","","","-","2.5","","","","",".4",".4",
"봉남면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","120","","","","","200","200",
"봉남면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"봉남면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"봉남면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"봉남면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"봉남면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"봉남면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"황산면","합계","면적[㏊]","㏊","12.5","12.5","31","31","31","10","12","33","85","144.6","94.8",
"황산면","합계","생산량[M/T]","M/T","22","22","45","45","46.5","26.5","27","49","207","411.4","308",
"황산면","콩","면적[㏊]","㏊","12.5","12.5","31","31","31","10","12","33","85","144.5","94.7",
"황산면","콩","생산량[M/T]","M/T","22","22","45","45","46.5","26.5","27","49","207","411.1","307.8",
"황산면","콩","단위생산량[㎏/10a]","㎏/10a","176","176","145","145","150","150","225","148.5","243.5","284.5","325",
"황산면","팥","면적[㏊]","㏊","","","","-","","","","","",".1",".1",
"황산면","팥","생산량[M/T]","M/T","","","","-","","","","","",".3",".2",
"황산면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","250","200",
"황산면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"황산면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"황산면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"황산면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"황산면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"황산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"금산면","합계","면적[㏊]","㏊","19","19","20","30","32","12","14","26","78","177","106.2",
"금산면","합계","생산량[M/T]","M/T","31.7","31.7","32.5","51","49.6","34.1","37","51","209","513.2","344.8",
"금산면","콩","면적[㏊]","㏊","19","19","20","30","32","12","14","26","78","176.7","105.9",
"금산면","콩","생산량[M/T]","M/T","31.7","31.7","32.5","51","49.6","34.1","37","51","209","512.6","344.2",
"금산면","콩","단위생산량[㎏/10a]","㎏/10a","167","167","","-","155","155","155","196","267.9","290.1","325",
"금산면","팥","면적[㏊]","㏊","","","","-","","","","","",".3",".3",
"금산면","팥","생산량[M/T]","M/T","","","","-","","","","","",".6",".6",
"금산면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","200","200",
"금산면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"금산면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"금산면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"금산면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"금산면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"금산면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"광활면","합계","면적[㏊]","㏊","","35","39.4","41.8","20","18","18","26","78","69.6","50.7",
"광활면","합계","생산량[M/T]","M/T","","68","76.1","81.2","30","30","30","78","236","208.6","164.7",
"광활면","콩","면적[㏊]","㏊","","35","39.4","41.8","20","18","18","26","78","69.5","50.6",
"광활면","콩","생산량[M/T]","M/T","","68","76.1","81.2","30","30","30","78","236","208.4","164.5",
"광활면","콩","단위생산량[㎏/10a]","㎏/10a","","","179","-","150","150","150","300","302.6","299.9","325",
"광활면","팥","면적[㏊]","㏊","","","","-","","","","","",".1",".1",
"광활면","팥","생산량[M/T]","M/T","","","","-","","","","","",".2",".2",
"광활면","팥","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","183.3","200",
"광활면","녹두","면적[㏊]","㏊","","","","-","","","","","","","-",
"광활면","녹두","생산량[M/T]","M/T","","","","-","","","","","","","-",
"광활면","녹두","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"광활면","기타","면적[㏊]","㏊","","","","-","","","","","","","-",
"광활면","기타","생산량[M/T]","M/T","","","","-","","","","","","","-",
"광활면","기타","단위생산량[㎏/10a]","㎏/10a","","","","-","","","","","","","-",
"요촌동","합계","면적[㏊]","㏊","2.5","2.5","3.8","3.8","3.8","3.8","2.2","1.1","53","88.8","14",
"요촌동","합계","생산량[M/T]","M/T","4.3","4.3","6.5","6.5","6.5","6.5","23.3","19.1","177","278.6","45.4",
