"행정구역(읍면)별","미곡별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"하서면","논벼","단위생산량[kg/10a]","kg/10a","501.4","500","500","500","536.7","542.7","569.9","566.6","554","547","520","493.6","535.6",
"하서면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"하서면","밭벼","생산량[M/T]","M/T","","-","","-","-","-","-","-","-","-","-","-","-",
"하서면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
"줄포면","합계","면적[㏊]","㏊","733","751","654","652","633.7","619.4","562.1","606.3","526.5","470.6","458.2","460.2","421.4",
"줄포면","합계","생산량[M/T]","M/T","3618.9","3731.9","3246.9","3238","3401.1","3383","3202","3435.2","2916.8","2574.2","2382.5","2347.6","2452.3",
"줄포면","합계","단위생산량[kg/10a]","kg/10a","493.7","496.9","496.5","496.6","536.7","546.1","569.6","566.6","554","547","520","510.1","581.9",
"줄포면","논벼","면적[㏊]","㏊","725","743","646","644","625.7","619.4","562.1","606.3","526.5","470.6","458.2","460.2","421.4",
"줄포면","논벼","생산량[M/T]","M/T","3602","3715","3230","3220","3383","3383","3202","3435.2","2916.8","2574.2","2382.5","2347.6","2452.3",
"줄포면","논벼","단위생산량[kg/10a]","kg/10a","496.8","500","500","500","540.7","546.1","569.6","566.6","554","547","520","510.1","581.9",
"줄포면","밭벼","면적[㏊]","㏊","8","8","8","8","8","-","-","-","-","-","-","-","-",
"줄포면","밭벼","생산량[M/T]","M/T","16.9","16.9","16.9","18","18","-","-","-","-","-","-","-","-",
"줄포면","밭벼","단위생산량[kg/10a]","kg/10a","211.3","211.3","211.3","225","225","-","-","-","-","-","-","-","-",
"위도면","합계","면적[㏊]","㏊","5","3","3","3","3","3",".8",".7","1.5","1.2","1.2","1.2","1.1",
"위도면","합계","생산량[M/T]","M/T","24","15","15","15","16.2","16.2","4.5","3.9","8.3","6.6","6.2","5.8","5.9",
"위도면","합계","단위생산량[kg/10a]","kg/10a","480","500","500","500","540","546","562.5","566.6","554","547","520","483.3","536.4",
"위도면","논벼","면적[㏊]","㏊","5","3","3","3","3","3",".8",".7","1.5","1.2","1.2","1.2","1.1",
"위도면","논벼","생산량[M/T]","M/T","24","15","15","15","16","16","4.5","3.9","8.3","6.6","6.2","5.8","5.9",
"위도면","논벼","단위생산량[kg/10a]","kg/10a","480","500","500","500","540","546","562.5","566.6","554","547","520","483.3","536.4",
"위도면","밭벼","면적[㏊]","㏊","","-","","-","-","-","-","-","-","-","-","-","-",
"위도면","밭벼","생산량[M/T]","M/T","","-","","","-","-","-","-","-","-","-","-","-",
"위도면","밭벼","단위생산량[kg/10a]","kg/10a","","-","","","-","-","-","-","-","-","-","-","-",
